Unnamed: 0,NOMBREe_CANDIDATO,AGRUPACION,candidato_id,candidato,color,partido,partido_id
0,ALBERTO ISMAEL BEINGOLEA DELGADO,PARTIDO POPULAR CRISTIANO - PPC,alberto-beingolea,Alberto Beingolea,#009a21,Partido Popular Cristiano,partido-popular-cristiano
1,ANDRES AVELINO ALCANTARA PAREDES,DEMOCRACIA DIRECTA,andres-alcantara,Andres Alcantara,#fff000,Democracia Directa,democracia-directa
2,CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,cesar-acuna,César Acuña,#0050a0,Alianza para el Progreso,alianza-para-el-progreso
3,CIRO ALFREDO GALVEZ HERRERA,RENACIMIENTO UNIDO NACIONAL,ciro-galvez,Ciro Galvez,#1022b9,Renacimiento Unido,renacimiento-unido
4,DANIEL BELIZARIO URRESTI ELERA,PODEMOS PERU,daniel-salaverry,Daniel Salaverry,#ff2600,Somos Perú,somos-peru
5,DANIEL ENRIQUE SALAVERRY VILLA,PARTIDO DEMOCRATICO SOMOS PERU,daniel-urresti,Daniel Urresti,#004da3,Podemos Perú,podemos-peru
6,GEORGE PATRICK FORSYTH SOMMER,VICTORIA NACIONAL,george-forsyth,George Forsyth,#ff2607,Victoria Nacional,victoria-nacional
7,HERNANDO DE SOTO POLAR,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,hernando-de-soto,Hernando de Soto,#ff2c79,Avanza País,avanza-pais
8,JOSE ALEJANDRO VEGA ANTONIO,UNION POR EL PERU,jose-vega,José Vega Antonio,#ff2600,Union Por El Peru,union-por-el-peru
9,JOSE PEDRO CASTILLO TERRONES,PARTIDO POLITICO NACIONAL PERU LIBRE,pedro-castillo,Pedro Castillo,#f40201,Peru Libre,peru-libre
10,JULIO ARMANDO GUZMAN CACERES,PARTIDO MORADO,julio-guzman,Julio Guzmán,#4f1b7f,Partido Morado,partido-morado
11,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,keiko-fujimori,Keiko Fujimori,#fd6600,Fuerza Popular,fuerza-popular
12,MARCO ANTONIO ARANA ZEGARRA,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",marco-arana,Marco Arana,#4e5405,Frente Amplio,frente-amplio
13,OLLANTA MOISES HUMALA TASSO,PARTIDO NACIONALISTA PERUANO,ollanta-humala,Ollanta Humala,#f52300,Partido Nacionalista,partido-nacionalista
14,RAFAEL BERNARDO LOPEZ ALIAGA CAZORLA,RENOVACION POPULAR,rafael-lopez-aliaga,Rafael López Aliaga,#00aede,Renovación Popular,renovacion-popular
15,RAFAEL GASTON TADEO MILAGROS SANTOS NORMAND,PERU PATRIA SEGURA,rafael-santos,Rafael Santos,#0055a2,Perú Patria Segura,peru-patria-segura
16,VERONIKA FANNY MENDOZA FRISCH,JUNTOS POR EL PERU,veronika-mendoza,Verónika Mendoza,#2fc100,Juntos por el Perú,juntos-por-el-peru
17,YONHY LESCANO ANCIETA,ACCION POPULAR,yonhi-lescano,Yonhy Lescano,#000000,Acción Popular,accion-popular
